cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI
936,39,1.1883046018945618,0.9751434342506037,4.458090384201674,0.0,1.5,0.05,0.5,1.156818455798844,0.9445670134098368,4.435207089007166,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.03071093614907534,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03254405980467222
960,40,1.2197907479902796,1.005854370399679,4.4809736793961825,0.0,1.5,0.05,0.5,1.1883046018945618,0.9751434342506037,4.458090384201674,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.03082556153119917,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03271110785959213
984,41,1.2512768940859975,1.0366799319308782,4.503856974590691,0.0,1.5,0.05,0.5,1.2197907479902796,1.005854370399679,4.4809736793961825,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.03092323798447613,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03287815591451204
1008,42,1.2827630401817154,1.0676031699153543,4.526740269785199,0.0,1.5,0.05,0.5,1.2512768940859975,1.0366799319308782,4.503856974590691,0.0,1.5,0.05,0.5,-0.03148614609571785,-0.03100647163960549,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03304520396943195
1032,43,1.3142491862774333,1.0986096415549598,4.549623564979707,0.0,1.5,0.05,0.5,1.2827630401817154,1.0676031699153543,4.526740269785199,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.03107739806162194,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03321225202435186
1056,44,1.3457353323731511,1.1296870396165817,4.572506860174215,0.0,1.5,0.05,0.5,1.3142491862774333,1.0986096415549598,4.549623564979707,0.0,1.5,0.05,0.5,-0.03148614609571785,-0.03113783704309211,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03337930007927177
1080,45,1.377221478468869,1.1608248766596738,4.595390155368723,0.0,1.5,0.05,0.5,1.3457353323731511,1.1296870396165817,4.572506860174215,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.0311893392953882,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03354634813419168
1104,46,1.4087076245645869,1.192014215955062,4.6182734505632315,0.0,1.5,0.05,0.5,1.377221478468869,1.1608248766596738,4.595390155368723,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.03123322623601904,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03371339618911159
1128,47,1.4401937706603047,1.223247442191081,4.64115674575774,0.0,1.5,0.05,0.5,1.4087076245645869,1.192014215955062,4.6182734505632315,0.0,1.5,0.05,0.5,-0.03148614609571785,-0.03127062389286062,-0.02288329519450803,0.0,0.0,0.0,0.0,0.0338804442440315
1152,48,1.4716799167560226,1.2545180660839417,4.664040040952248,0.0,1.5,0.05,0.5,1.4401937706603047,1.223247442191081,4.64115674575774,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.03130249179518266,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03404749229895141
1176,49,1.5031660628517405,1.2858205578791244,4.686923336146756,0.0,1.5,0.05,0.5,1.4716799167560226,1.2545180660839417,4.664040040952248,0.0,1.5,0.05,0.5,-0.03148614609571785,-0.03132964759274265,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03421454035387132
